lat,lon
30.7035136,76.7902515
30.7037999,76.7895063
30.7043954,76.7897867
30.7093633,76.7835795
30.7145924,76.7780584
30.7258615,76.7686402
30.7261455,76.7678589
30.7265774,76.7689228
30.7268008,76.7681504
30.7325504,76.7632047
30.7216228,76.7903571
30.7223087,76.7899071
30.723281,76.8063298
30.7236841,76.8065321
30.7313187,76.8051005
30.7313384,76.8049719
30.70798,76.837388
30.7082039,76.8371455
30.7082754,76.8377353
30.7084866,76.8374349
30.6894234,76.7665714
30.689213,76.7664352
30.6892569,76.76682
30.7344273,76.7703772
30.734615,76.7705849
30.7201085,76.7735396
30.7209651,76.7732026
30.7207354,76.7738716
30.7148576,76.7788514
30.7202064,76.7730073
30.7345795,76.7704334
30.71513,76.7783139
30.7040881,76.7905282
30.7344644,76.7706123
30.7144029,76.7786104
30.691478,76.8027968
30.6913018,76.8031396
30.6911207,76.8028106
30.6772674,76.8085825
30.6776956,76.8085274
30.6774463,76.8083158
30.7366053,76.7847094
30.7425953,76.779256
30.7425174,76.7789437
30.7367213,76.7847325
30.7424409,76.7791206
30.7366266,76.7849273
30.7130214,76.7901255
30.7128637,76.7900437
30.7131467,76.7899329
30.7129588,76.7898668
30.7125145,76.8215387
30.7122078,76.8216047
30.7123109,76.8218783
30.7125434,76.8218289
30.7232727,76.8065074
