lat,lon
28.4616968,77.0870179
28.4500434,77.063861
28.4827111,77.1075305
28.4917574,77.0908564
28.436978,77.0672279
28.4277636,77.0583262
28.467868,77.0729926
28.4678722,77.0731704
28.4596789,77.0317789
28.4597303,77.0316838
28.4586699,77.0740777
28.4595952,77.049618
28.4679098,77.1078588
28.4825512,77.1078792
28.467966,77.0941899
28.463305,77.0954085
28.4679966,77.0797363
28.427768,77.0584141
28.4680094,77.0945239
30.6859181,76.8578833
30.6860495,76.857904
30.6938132,76.8508827
30.6939183,76.8507299
30.6939473,76.8510417
30.6940613,76.8509204
30.6981447,76.849848
30.6982673,76.850057
30.698286,76.8496986
30.6984682,76.8499557
30.7071883,76.8650941
30.3387033,76.8305997
28.452188,77.0416024
30.7070789,76.8735187
30.3385656,76.830716
28.4886919,77.282812
28.4590179,77.0742163
28.4473853,77.0798967
28.4500181,77.096254
28.3988202,77.2815782
28.3988558,77.2816298
28.4278089,77.0583734
28.4499964,77.0994725
28.4533794,77.0983494
28.4629251,77.0951631
28.4631694,77.0957342
28.4680145,77.1081488
28.4677706,77.1081561
28.4680702,77.1078408
29.1490627,75.7218766
29.1681175,75.7190702
29.1493069,75.7216982
29.1679485,75.7193017
30.6830787,76.8630572
30.6845789,76.8643323
30.6846637,76.8643773
30.6848126,76.8640233
28.4516299,77.0420417
28.4517923,77.0421067
28.4520118,77.0415582
29.6738039,77.0019507
29.6740048,77.0019867
29.6740841,77.0014216
29.6742514,77.0015262
29.6933471,77.006032
29.6934203,77.0066522
29.6935718,77.0059292
29.6936361,77.0065413
28.9772628,77.0297173
28.9773176,77.0298418
28.9774216,77.0297039
28.4265848,77.057208
28.4265129,77.0570634
28.4264812,77.0571008
28.4679638,77.0827604
28.4500842,77.0964673
28.4499621,77.0965334
28.4631065,77.0947664
28.4475044,77.0793562
28.4470592,77.0796492
29.1515313,75.7198905
29.1512951,75.7198777
29.1677836,75.7191363
29.1645867,75.7201238
29.1644,75.7200256
29.1645599,75.7198916
29.1490955,75.7216115
28.4499835,77.0964449
28.4683769,77.0441887
28.4682623,77.0441371
28.4683188,77.0438684
28.4646067,77.0734325
28.4644515,77.0734988
28.4646646,77.0736308
28.4891128,77.2832347
28.4892921,77.2826204
28.4886729,77.2827982
28.4891045,77.28326
28.4892983,77.2826009
28.4893343,77.2861089
28.4898369,77.2866253
28.4893464,77.2870845
28.4893276,77.2861356
28.4892215,77.2863941
28.4892947,77.2871152
28.4898605,77.2866967
28.4892546,77.2864071
28.4612537,77.2847186
28.4611875,77.2847613
28.461236,77.2848983
28.4613212,77.2848922
28.4466596,77.2803439
28.4465075,77.2807836
28.4464808,77.2807385
28.4466526,77.2803256
28.44711,77.2808072
28.4471262,77.2808729
28.4386493,77.2850639
28.438695,77.2848624
28.438758,77.2849312
28.4386696,77.2850941
28.4385817,77.2849023
28.4385156,77.2848917
28.4453412,77.296732
28.4454455,77.2967349
28.445469,77.2967411
28.4453034,77.2967322
28.4454473,77.2966415
28.4454816,77.2966215
28.407256,77.2818949
28.4072408,77.2819249
28.4075334,77.2816434
28.4075558,77.281731
28.4071832,77.2814979
28.4071613,77.2814346
28.4034372,77.2775342
28.4035061,77.2774618
28.4033432,77.2775392
28.4032265,77.2776341
28.4033715,77.2776034
28.403456,77.2777848
28.4034124,77.2774765
28.4033211,77.2772704
28.4021951,77.2934692
28.4022175,77.2934515
28.402157,77.2935481
28.4021528,77.2935789
28.402113,77.2934475
28.4045919,77.2998642
28.4046157,77.299827
28.4045526,77.2999859
28.4045644,77.300053
28.4020624,77.2934696
28.4044606,77.2998912
28.4044458,77.2998349
28.3995902,77.2971177
28.3996179,77.2971013
28.3994358,77.2973073
28.3994169,77.2973469
28.3995915,77.2972681
28.3996027,77.2973432
28.3994535,77.2971448
28.3994275,77.297065
28.3972974,77.2998436
28.3973029,77.2998687
28.3972927,77.2996974
28.3973395,77.2997011
28.3971632,77.2998012
28.3971248,77.2997929
28.3943861,77.2863955
28.3943251,77.2863927
28.3946031,77.2865113
28.3946326,77.2865721
28.3943894,77.2865515
28.3943766,77.2865981
28.3947182,77.2860617
28.3947839,77.2860017
28.3910362,77.2926761
28.3910412,77.2926047
28.3911597,77.2928639
28.3911594,77.2929313
28.3909918,77.2928282
28.3909667,77.2928788
28.3911827,77.2926597
28.3912567,77.2926118
28.3921532,77.3012603
28.3926776,77.3016459
28.3894328,77.3011299
28.3894477,77.3010952
28.3893714,77.3012559
28.3893374,77.3011984
28.389486,77.3012958
28.389524,77.3013443
28.3917883,77.3016968
28.3927324,77.3016849
28.3921661,77.3011994
28.3917295,77.3016366
28.3921635,77.3022955
28.3921125,77.3023579
28.3861064,77.3065942
28.3861326,77.3065176
28.3859223,77.3068825
28.3831845,77.3037331
28.3832454,77.3035702
28.3858341,77.306821
28.3863931,77.3068443
28.386483,77.3069035
28.3771442,77.2977468
28.3780083,77.2976595
28.3775585,77.2971322
28.3780437,77.2977085
28.3776082,77.2970923
28.3771085,77.2976943
28.377595,77.2982283
28.3775588,77.2983006
28.3832984,77.3036614
28.3831055,77.303594
28.3831645,77.3037552
28.3832559,77.3035155
28.3831376,77.3035895
28.3833198,77.3036868
28.3827396,77.2859862
28.382714,77.2856943
28.382725,77.2856534
28.382758,77.2860289
28.3828498,77.2858083
28.3828985,77.2858477
28.3825975,77.2858485
28.3825524,77.2858141
28.3778123,77.3068681
28.3783411,77.3068428
28.3783758,77.306875
28.3777788,77.3068844
28.3780425,77.3070386
28.3779121,77.3070909
28.3780237,77.3066954
28.3781432,77.3066081
28.372824,77.2982231
28.3728198,77.2978602
28.3727922,77.2978118
28.3728001,77.2982721
28.3726636,77.2980687
28.3725945,77.2980245
28.3729639,77.2980482
28.3730364,77.2980938
28.3605374,77.2994608
28.3604179,77.2998135
28.3605472,77.2994037
28.3604339,77.2998637
28.3606594,77.2995962
28.3607168,77.2996617
28.3603582,77.299621
28.3602911,77.2995772
28.3630944,77.2995996
28.363108,77.2996424
28.3631993,77.2993884
28.3632668,77.2994484
28.3630289,77.2994024
28.3629648,77.2993579
28.3480081,77.2999388
28.3480209,77.2998969
28.3479838,77.3002346
28.3479915,77.3002647
28.3482112,77.3001353
28.3482858,77.3001686
28.352613,77.300368
28.352637,77.300431
28.352515,77.3002044
28.3524462,77.3002383
28.3528236,77.3001836
28.3529105,77.3002041
28.3473113,77.3028114
28.3474515,77.3027521
28.3474031,77.302904
28.3474066,77.3028741
28.3474372,77.3027777
28.3472921,77.3028179
28.4829236,77.314357
28.4828578,77.3143685
28.4826339,77.3143553
28.4826052,77.3142884
28.463282,77.3171003
28.4632927,77.317022
28.4530232,77.3192512
28.4532533,77.3195577
